Zip Code,2019 House Mean,2019 Dec House Price,Social Studies Mean,Social Studies Median
32968,268492.5,269052.0833333333,90.0,90.0
33004,308366.0,309271.0833333333,47.0,47.0
33009,277891.0,277109.8333333333,61.5,61.5
33010,324139.0,325461.25,69.0,75.0
33012,359947.5,360197.25,69.5,72.5
33013,338449.0,338951.4166666667,65.0,65.0
33014,338410.5,339254.9166666667,79.75,80.5
33015,353554.5,354305.5833333333,76.0,76.5
33016,357816.0,357924.4166666667,83.875,85.0
33018,355025.5,354992.9166666667,77.85714285714286,74.0
33020,280099.5,279464.5,71.625,66.5
33021,358319.5,359403.4166666667,73.0,63.0
33023,277214.0,277143.6666666667,54.0,54.0
33024,302423.0,302728.5833333333,67.33333333333333,65.5
33025,312629.5,313210.8333333333,66.75,67.5
33026,336691.0,337284.6666666667,90.0,90.0
33027,407262.5,407782.75,89.0,87.0
33028,422919.0,423438.5,75.0,75.0
33029,434299.5,434809.9166666667,88.66666666666667,89.5
33030,261498.0,261496.5,71.77777777777777,67.0
33031,465555.5,465472.25,54.0,54.0
33032,268833.5,269591.25,79.4,85.0
33033,254289.0,254598.5,74.85714285714286,71.0
33034,186165.0,186380.83333333334,64.5,59.5
33035,217581.0,217823.58333333334,68.0,64.0
33036,1035182.5,1032497.75,95.0,95.0
33037,611145.5,609031.0,81.0,81.0
33040,666153.0,665135.6666666666,76.0,78.0
33042,608891.0,606894.25,96.0,96.0
33050,579745.0,578175.9166666666,71.0,71.0
33054,240125.0,240855.0,62.0,58.0
33055,286126.5,286902.3333333333,56.5,56.5
33056,266795.0,267102.0833333333,75.0,81.0
33060,314029.5,314601.4166666667,68.66666666666667,57.0
33063,282815.5,283148.5833333333,81.2,80.0
33064,248303.0,248592.25,58.0,58.0
33065,362106.5,362853.5,62.5,66.0
33066,282901.5,282619.4166666667,78.0,78.0
33067,474901.0,475765.75,81.66666666666667,82.0
33068,248017.0,248164.25,61.4,69.0
33070,672195.5,669796.75,83.0,83.0
33071,413926.5,414875.1666666667,70.0,76.0
33073,371861.0,372127.25,77.5,77.5
33076,533712.5,534001.5,85.66666666666667,87.0
33122,1180707.5,1178164.8333333333,98.0,98.0
33125,335100.5,335214.25,53.0,53.0
33126,339526.5,340179.75,63.0,63.0
33127,276154.5,277117.5833333333,71.14285714285714,79.0
33128,373137.5,374873.4166666667,75.0,75.0
33130,372436.5,374967.6666666667,86.33333333333333,93.5
33132,446458.0,447600.0,98.0,98.0
33133,751040.5,751278.9166666666,86.0,81.0
33134,593723.5,593462.5,96.0,96.0
33135,383320.0,383440.6666666667,90.66666666666667,97.0
33136,360403.0,361045.5833333333,58.0,55.5
33137,724109.5,726095.5,100.0,100.0
33138,601072.5,600940.5,100.0,100.0
33139,1888577.5,1893112.5,81.0,81.0
33140,1642580.5,1647285.8333333333,72.0,72.0
33141,858392.5,859193.4166666666,93.0,93.0
33142,232518.0,233319.58333333334,58.0,57.0
33143,827939.0,828330.0833333334,89.66666666666667,86.0
33145,467404.5,469294.5,79.0,79.0
33146,1027468.0,1028187.0833333334,85.5,85.0
33147,235863.5,237362.0,59.2,57.0
33149,2495667.0,2499393.8333333335,90.5,90.5
33150,247421.0,248067.91666666666,55.333333333333336,56.0
33154,886042.5,887116.5833333334,92.0,92.0
33155,415181.0,415659.0,68.33333333333333,63.0
33156,1037124.0,1036930.75,79.25,79.0
33157,354420.0,355446.5,72.75,72.5
33160,873844.5,876841.5833333334,77.5,77.5
33161,319820.0,320748.5,60.75,62.0
33162,297669.5,298008.5,63.0,65.0
33165,390217.0,390752.5833333333,72.75,69.0
33166,418254.5,418505.4166666667,72.33333333333333,76.0
33167,245498.0,246804.5,84.0,84.0
33168,259458.0,260017.41666666666,63.5,62.5
33169,276485.0,277718.4166666667,72.5,72.5
33170,301991.0,303209.75,59.0,62.5
33172,367766.0,368009.3333333333,91.33333333333333,94.5
33173,390582.5,391552.6666666667,91.0,97.0
33174,376264.5,376711.25,100.0,100.0
33175,387251.0,387713.5,72.0,72.0
33176,499939.5,499935.9166666667,85.85714285714286,91.0
33177,315349.0,316354.1666666667,85.5,84.5
33178,398387.5,398778.4166666667,80.0,78.5
33179,324137.0,324176.5833333333,72.0,78.0
33180,618702.5,619814.25,87.33333333333333,88.0
33181,615169.0,615573.5833333334,85.5,85.5
33182,384252.5,384688.25,71.0,71.0
33183,368789.5,369132.5,85.0,83.5
33185,400225.0,400677.3333333333,83.625,85.0
33186,346573.5,347093.3333333333,85.66666666666667,86.0
33189,313282.5,314020.5,98.0,98.0
33190,282866.0,283423.75,87.0,87.0
33193,361371.0,362225.3333333333,72.0,72.0
33196,369861.0,370491.1666666667,75.0,73.0
33304,492331.0,492906.9166666667,66.0,66.0
33305,553655.0,554852.4166666666,78.0,78.0
33309,262775.5,263309.75,43.0,43.0
